TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
31-07-2025,31-07-2025,CM,NSE,STK,1838,INE036D01028,KARURVYSYA,EQ,,,,,KARUR VYSYA BANK LTD,257.9,267,255.1,263.6,266,258.85,,263.6,,,1977893,518386636.3,35863,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,24528,INE0SVY01018,KATARIA,SM,,,,,KATARIA INDUSTRIES LTD,101.3,102.85,100,102.3,102.3,102.2,,102.3,,,9600,974580,14,F1,600,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,15136,INE234I01028,KAUSHALYA,EQ,,,,,KAUSHALYA INFRA DEV LTD.,880,889.8,857.65,878.6,879.9,877.75,,874.75,,,2312,2025956.5,362,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,21186,INE0Q2V01012,KLL,SM,,,,,KAUSHALYA LOGISTICS LTD,76.45,76.7,75.2,75.35,75.2,76.7,,75.35,,,8000,608040,8,F1,800,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,14972,INE455I01029,KSCL,EQ,,,,,KAVERI SEED CO. LTD.,1115,1127.4,1101.8,1109.9,1109.9,1129.6,,1110,,,57321,63939304.5,7773,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,15248,INE641C01019,KAVDEFENCE,BE,,,,,KAVVERI DFS & WIR TEC LTD,60.03,60.03,60.03,60.03,60.03,58.86,,59.99,,,26346,1581550.38,93,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,21185,INE0RCG01017,KCEIL,ST,,,,,KAY CEE ENERGY & INFRA L,365,373.5,360,366.05,364.05,369.8,,366.05,,,22000,8099225,41,F1,500,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,10282,INE587G01015,KAYA,BE,,,,,KAYA LIMITED,424,424,419.9,420.3,420.3,424,,422.6,,,8175,3435556.8,25,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,12092,INE918Z01012,KAYNES,EQ,,,,,KAYNES TECHNOLOGY IND LTD,5590,6284,5477,6172,6202,5638,,6172,,,3889665,23634293675,316593,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,10293,INE0J1E01027,KCK,SM,,,,,KCK INDUSTRIES LTD,42.95,44,42.05,43.3,43.4,43,,43.3,,,167500,7296625,63,F1,2500,,,,,
